,page,job_id,title,role_id,listing_date,teaser,classification,subClassification,workType,location,suburbWhereValue,salary,companyName,company_advertiser,isPrivateAdvertiser
411,19,59733217,ETL Developer,extract-transform-load-developer,2023-01-16T03:10:57Z,6 Month Contract | Data Migration | Hybrid WFH / GENEROUS RATE / East Brisbane,Information & Communication Technology,Database Development & Administration,Contract/Temp,Brisbane,East Brisbane QLD 4169,,FinXL IT Professional Services,FinXL IT Professional Services,False
412,19,59828463,Algorithm Engineer,Algorithm-Engineer,2023-01-24T01:48:51Z,"Are you an Algorithm Engineer wanting full control of the algo pipeline, from data collection, algo design, data processing and customer delivery?",Information & Communication Technology,Engineering - Software,Full Time,Brisbane,Brisbane QLD 4000,,,RapidAIM,False
413,19,59746654,Data Architect,data-architect,2023-01-17T00:47:53Z,"Modis Consulting are currently seek Data Architect to join the team in Perth on an exciting project 

- 2 year project
- Awesome perks",Information & Communication Technology,Architects,Full Time,Perth,Perth WA 6000,150-200k (pending experience),Modis,Modis,False
414,19,59766589,Data Specialist,data-specialist,2023-01-18T03:20:04Z,Leading Government client at Parramatta - Sydney is looking for a Data Specialist on a 12 months contract + possible extension. APPLY NOW!,Information & Communication Technology,Database Development & Administration,Contract/Temp,Sydney,Parramatta NSW 2150,$800 - $1k p.d. + Super,Experis,Experis,False
415,19,59701143,Solution Architect - Big Data,solutions-architect,2023-01-12T05:51:16Z,"Work with our Data Engineering teams to design and deliver cutting-edge solutions and create strategic, yet pragmatic data solutions.",Information & Communication Technology,Architects,Full Time,Sydney,Sydney NSW 2000,,Macquarie Group,Macquarie Group Limited,False
416,19,59747997,EL2 Director - Data Platforms (EDW),director,2023-01-17T01:35:28Z,"Senior leadership position that is primarily responsible for oversight, maintenance, development and success of the Agency's Enterprise Data Warehouse",Information & Communication Technology,Management,Contract/Temp,Brisbane,,Up to $1220 p.d.,GMT People,GMT People,False
417,19,59748108,EL2 Director - Data Platforms (EDW),director,2023-01-17T01:39:30Z,"Senior leadership position that is primarily responsible for oversight, maintenance, development and success of the Agency's Enterprise Data Warehouse",Information & Communication Technology,Management,Contract/Temp,Sydney,,Up to $1240 p.d.,GMT People,GMT People,False
418,20,59794377,Principal - Condition Based Monitoring - Brisbane,principal,2023-01-20T01:45:42Z,Great opportunity for a Principal - Condition Based Monitoring - to join our head office team.,"Mining, Resources & Energy",Mining - Engineering & Maintenance,Full Time,Brisbane,South Brisbane QLD 4101,,,BUMA Australia,False
419,20,59803464,Customer Service Representatives at Datacom to support our client Home Affairs,customer-service-representative-csr,2023-01-20T12:45:40Z,Are you passionate about providing customer service? Exciting opportunity to help out your fellow Australians!,Call Centre & Customer Service,Customer Service - Call Centre,Full Time,Adelaide,Adelaide SA 5000,,Datacom,Datacom,False
420,20,59790770,Python Engineer,python-engineer,2023-01-19T23:53:05Z,Python/Django developers who of mid or senior level. A good knowledge of Javascript and AWS too,Information & Communication Technology,Engineering - Software,Full Time,Sydney,,$110000 - $150000 per annum,NewyTechPeople,NewyTechPeople,False
